,Course,Description,Rating,Link
0,"React - The Complete Guide (incl Hooks, React Router, Redux)
Dive in and learn <strong>React</strong>.js from scratch! Learn <strong>Reactjs</strong>, Hooks, Redux, <strong>React</strong> Routing, Animations, Next.js and way more!","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",4.6,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
1,"Complete React Developer in 2022 (w/ Redux, Hooks, GraphQL)
Updated! Become a Senior <strong>React</strong> Developer. Build a massive E-commerce app with Redux, Hooks, GraphQL, Stripe, Firebase","Updated! Become a Senior React Developer. Build a massive E-commerce app with Redux, Hooks, GraphQL, Stripe, Firebase",4.7,https://www.udemy.com/course/complete-react-developer-zero-to-mastery/
2,"Modern React with Redux
Master <strong>React</strong> and Redux with <strong>React</strong> Router, Webpack, and Create-<strong>React</strong>-App. Includes Hooks!","Master React and Redux with React Router, Webpack, and Create-React-App. Includes Hooks!",4.6,https://www.udemy.com/course/react-redux/
3,"React Tutorial and Projects Course (2022)
Learn <strong>React</strong> by Building 25+ Interesting Projects",Learn React by Building 25+ Interesting Projects,4.7,https://www.udemy.com/course/react-tutorial-and-projects-course/
4,"React Front To Back 2022
Learn modern <strong>React</strong> by building 4 projects including a Firebase 9 app and a full stack MERN app",Learn modern React by building 4 projects including a Firebase 9 app and a full stack MERN app,4.7,https://www.udemy.com/course/react-front-to-back-2022/
5,"The Complete 2022 Web Development Bootcamp
Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, <strong>React</strong>, MongoDB, Web3 and DApps","Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",4.7,https://www.udemy.com/course/the-complete-web-development-bootcamp/
6,"Build Web Apps with React & Firebase
Learn <strong>React</strong> from the ground up to make dynamic websites (includes Context, Hooks, Reducers, Routing, Auth, Databases)","Learn React from the ground up to make dynamic websites (includes Context, Hooks, Reducers, Routing, Auth, Databases)",4.8,https://www.udemy.com/course/build-web-apps-with-react-firebase/
7,"Next.js & React - The Complete Guide (incl. Two Paths!)
Learn NextJS from the ground up and build production-ready, fullstack <strong>ReactJS</strong> apps with the NextJS framework!","Learn NextJS from the ground up and build production-ready, fullstack ReactJS apps with the NextJS framework!",4.7,https://www.udemy.com/course/nextjs-react-the-complete-guide/
8,"The Complete React Developer Course (w/ Hooks and Redux)
Learn how to build and launch <strong>React</strong> web applications using <strong>React</strong>, Redux, Webpack, <strong>React</strong>-Router, and more!","Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",4.5,https://www.udemy.com/course/react-2nd-edition/
9,"The Modern React Bootcamp (Hooks, Context, NextJS, Router)
Just published! Follow the same curriculum I teach my students in SF. 10+ projects including one HUGE application!",Just published! Follow the same curriculum I teach my students in SF. 10+ projects including one HUGE application!,4.7,https://www.udemy.com/course/modern-react-bootcamp/
10,"Microservices with Node JS and React
Build, deploy, and scale an E-Commerce app using Microservices built with Node, <strong>React</strong>, Docker and Kubernetes","Build, deploy, and scale an E-Commerce app using Microservices built with Node, React, Docker and Kubernetes",4.7,https://www.udemy.com/course/microservices-with-node-js-and-react/
11,"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide
Build fullstack <strong>React</strong>.js applications with Node.js, Express.js & MongoDB (MERN) with this project-focused course.","Build fullstack React.js applications with Node.js, Express.js & MongoDB (MERN) with this project-focused course.",4.7,https://www.udemy.com/course/react-nodejs-express-mongodb-the-mern-fullstack-guide/
12,"React Native - The Practical Guide [2022]
Use <strong>React</strong> Native and your <strong>React</strong> knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux","Use React Native and your React knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux",4.7,https://www.udemy.com/course/react-native-the-practical-guide/
13,"React For The Rest Of Us
Learn <strong>React</strong> JS to create Single Page Applications (SPA) using modern practices like Context, Reducer, Suspense and more","Learn React JS to create Single Page Applications (SPA) using modern practices like Context, Reducer, Suspense and more",4.8,https://www.udemy.com/course/react-for-the-rest-of-us/
14,"Microfrontends with React: A Complete Developer's Guide
Build incredibly scalable apps with a microfrontend architecture",Build incredibly scalable apps with a microfrontend architecture,4.8,https://www.udemy.com/course/microfrontend-course/
15,"The complete React 18 Fullstack course ( 2022 edition)
Take you coding to the next level with <strong>React</strong>, Redux, Routes, Node js, Express and MongoDB","Take you coding to the next level with React, Redux, Routes, Node js, Express and MongoDB",4.6,https://www.udemy.com/course/the-complete-react-fullstack-course/
16,"The Complete React Native + Hooks Course
Understand <strong>React</strong> Native with Hooks, Context, and <strong>React</strong> Navigation.","Understand React Native with Hooks, Context, and React Navigation.",4.6,https://www.udemy.com/course/the-complete-react-native-and-redux-course/
17,"Testing React with Jest and React Testing Library (RTL)
Learn best practices for testing your apps with Jest and <strong>React</strong> Testing Library!",Learn best practices for testing your apps with Jest and React Testing Library!,4.6,https://www.udemy.com/course/react-testing-library/
18,"The Complete Web Developer in 2022: Zero to Mastery
Learn to code and become a Web Developer in 2022 with HTML, CSS, Javascript, <strong>React</strong>, Node.js, Machine Learning & more!","Learn to code and become a Web Developer in 2022 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",4.7,https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/
19,"Advanced React For Enterprise: React for senior engineers
A practical deep dive into building, scaling and maintaining high-quality design systems for software engineers.","A practical deep dive into building, scaling and maintaining high-quality design systems for software engineers.",4.5,https://www.udemy.com/course/react-for-senior-engineers/
